Product name,Ensure plus High Protein,Ensure Max Protein,Ensure Clear,Glucerna Shake,Nepro with CarbSteady ,Carnation Breakfast Essentials,Kate Farms 1.0,Kate Farms 1.4,Magic Cup,Gelatin Plus,Beneprotein,Juven,Pedialyte
May be used for,protein and calorie supplement; minimal meal consumption,"High protein, very low carbohydrate supplement; good non-protein intake or poor glycemic control",Liquid supplement compliant with clear liquid diet restrictions,"Lower carbohydrate than ensure plus, 10 g Protein/bottle",Low electrolyte supplement,"Powdered mix, well received with supplement fatigue","Plant-based, free from top 8 allergens","Plant-based, free from top 8 allergens",Thickened liquids compliant,Thickened liquids and clear liquids compliant,unflavored power can be mixed into other foods,"Targeted supplement, consult nutrition",oral rehydration solution
Container Volume,8 oz (240 mL),11 ox (330 mL),8 oz (240 mL),`8 oz (240 mL),8 oz (240 mL),1 pkt,11 oz (325 mL),11 oz (325 mL),4 oz (118 mL),4 oz (118 mL),1 pkt,1 pkt,1 pkt
Flavors,"Chocolate, vanilla","Chocolate, vanilla, strawberry","Apple, mixed berry","Chocolate, vanilla, strawberry","Vanilla, berry","Chocolate, vanilla",Chocolate,Vanilla,"Chocolate, vanilla","Lemon, pineapple",unflavored,"Orange, fruit punch","Strawberry, lemonade, orange, cherry, grape"
Sources,,,,,,,,,,,,,
Protein,"Milk protein concentrate, calcium caseinate, soy protein isolate","Milk protein concentrate, Calcium caseinate",Whey protein isolate,"Milk protein concentrate, soy protein isolate","Calcium, magnesium, and sodium caseinates, milk protein isolate",Nonfat milk,Organic pea protein,Organic pea protein,"Skim milk, milk protein concentrate","Hydrolyzed collagen, Whey protein isolate, L-tryptophan",Whey protein,Hydrolyzed beef collagen,N/A
Fat,"Canola oil, corn oil",Sunflower oil,N/A,"Canola oil, corn oil",High oleic safflower oil,Cocoa,"Organic high linoleic sunflower oil, MCT, flaxseed oil","Organic high linoleic sunflower oil, MCT, flaxseed oil","Palm oil, cocoa",N/A,N/A,N/A,N/A
Carbohydrates,"Corn syrup, sucrose","Soluble corn fiber, inulin, ","Sugar, Corn syrup solids","Corn maltodextrin, fructose, glycerin, soluble corn fiber, soy fiber, scFOS","Soluble corn fiber, inulin, milk protein concentrate","Maltodextrin, Sugar, lactose","Organic broen rice syrup solids, agave syrup, pea starch","Organic broen rice syrup solids, agave syrup, pea starch",High fructose corn syrup,"Sugar, Malic acid, sucrose",N/A,"Citric acid, sugar",Anhydrous dextrose
Content,,,,,,,,,,,,,
Calories,350,150,240,220,420,220,325,455,290,160,25,90 (95 FP),50
Protein (g),20,30,8,10,19,13,16,20,9,20,6,2.5,0
Fat (g),13,1.5,0,9,23,0,12,19,11,0,0,0,0
Carbohydrates (g),41,6,52,26,38,39,38,51,38,20,0,8.4 (9.8 FP),12
Dietary Fiber (g),3,2,0,4,6,0,5,3,0,2,0,0,0
scFOS (g),3,0,0,1,2,0,,,,,,0,0
Sodium (mg),200,"240 (140 van, 150 straw)",70,210,250,190 (210 van),260,350,130,35,15,0,490
Potassium (g),470,"420 (470 van, straw)",N/A,380,225,660 (600 van),550,725,190,110,0,0,370
Osmolarty (mOsm/kgH2O),840 (760 van),171,920,670,745,N/A,470,440,N/A,N/A,N/A,w/ 8 oz water 513 (521 fp),w/ 16.9 oz water 270
Features,,,,,,,,,,,,,
Kosher,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
Halal,Yes,Yes,Yes (apple),Yes,Yes,No,No,No,No,No,No,No,Yes
Vegan,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes
Lactose Free,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes